name,value,year,lastValue,rank
dengue,21,1875,21,3
tuberculosis,18,1875,18,4
arthritis,1,1875,1,5
hiv,0,1875,0,6
chagas,0,1875,0,7
diabetes,90,1876,87,1
malaria,31,1876,30,2
dengue,21,1876,21,3
tuberculosis,20,1876,18,4
arthritis,3,1876,1,5
chagas,0,1876,0,6
hiv,0,1876,0,7
diabetes,91,1877,90,1
malaria,31,1877,31,2
dengue,23,1877,21,3
tuberculosis,21,1877,20,4
arthritis,3,1877,3,5
chagas,0,1877,0,6
hiv,0,1877,0,7
diabetes,92,1878,91,1
malaria,31,1878,31,2
dengue,23,1878,23,3
tuberculosis,21,1878,21,4
arthritis,3,1878,3,5
hiv,0,1878,0,6
chagas,0,1878,0,7
diabetes,93,1879,92,1
malaria,31,1879,31,2
dengue,27,1879,23,3
tuberculosis,23,1879,21,4
arthritis,4,1879,3,5
chagas,0,1879,0,6
hiv,0,1879,0,7
diabetes,93,1880,93,1
dengue,31,1880,27,2
malaria,31,1880,31,3
tuberculosis,24,1880,23,4
arthritis,5,1880,4,5
hiv,0,1880,0,6
chagas,0,1880,0,7
diabetes,95,1881,93,1
malaria,34,1881,31,2
dengue,32,1881,31,3
tuberculosis,28,1881,24,4
arthritis,5,1881,5,5
hiv,0,1881,0,6
chagas,0,1881,0,7
diabetes,99,1882,95,1
malaria,36,1882,34,2
dengue,36,1882,32,3
tuberculosis,34,1882,28,4
arthritis,5,1882,5,5
chagas,0,1882,0,6
hiv,0,1882,0,7
diabetes,101,1883,99,1
malaria,39,1883,36,2
tuberculosis,39,1883,34,3
dengue,36,1883,36,4
arthritis,5,1883,5,5
chagas,0,1883,0,6
hiv,0,1883,0,7
diabetes,101,1884,101,1
tuberculosis,44,1884,39,2
malaria,42,1884,39,3
dengue,36,1884,36,4
arthritis,6,1884,5,5
chagas,0,1884,0,6
hiv,0,1884,0,7
diabetes,104,1885,101,1
tuberculosis,47,1885,44,2
malaria,44,1885,42,3
dengue,37,1885,36,4
arthritis,6,1885,6,5
hiv,0,1885,0,6
chagas,0,1885,0,7
diabetes,108,1886,104,1
tuberculosis,49,1886,47,2
malaria,45,1886,44,3
dengue,37,1886,37,4
arthritis,6,1886,6,5
chagas,0,1886,0,6
hiv,0,1886,0,7
diabetes,108,1887,108,1
tuberculosis,52,1887,49,2
malaria,46,1887,45,3
dengue,37,1887,37,4
arthritis,6,1887,6,5
chagas,0,1887,0,6
hiv,0,1887,0,7
diabetes,111,1888,108,1
tuberculosis,59,1888,52,2
malaria,49,1888,46,3
dengue,37,1888,37,4
arthritis,9,1888,6,5
chagas,0,1888,0,6
hiv,0,1888,0,7
diabetes,117,1889,111,1
tuberculosis,73,1889,59,2
malaria,54,1889,49,3
dengue,37,1889,37,4
arthritis,9,1889,9,5
hiv,0,1889,0,6
chagas,0,1889,0,7
diabetes,126,1890,117,1
tuberculosis,90,1890,73,2
malaria,56,1890,54,3
dengue,41,1890,37,4
arthritis,10,1890,9,5
chagas,0,1890,0,6
hiv,0,1890,0,7
diabetes,131,1891,126,1
tuberculosis,113,1891,90,2
malaria,62,1891,56,3
dengue,42,1891,41,4
arthritis,11,1891,10,5
hiv,0,1891,0,6
chagas,0,1891,0,7
diabetes,139,1892,131,1
tuberculosis,126,1892,113,2
malaria,64,1892,62,3
dengue,42,1892,42,4
arthritis,13,1892,11,5
hiv,0,1892,0,6
chagas,0,1892,0,7
diabetes,152,1893,139,1
tuberculosis,135,1893,126,2
malaria,70,1893,64,3
dengue,42,1893,42,4
arthritis,13,1893,13,5
hiv,0,1893,0,6
chagas,0,1893,0,7
diabetes,162,1894,152,1
tuberculosis,152,1894,135,2
malaria,78,1894,70,3
dengue,42,1894,42,4
arthritis,14,1894,13,5
hiv,0,1894,0,6
chagas,0,1894,0,7
diabetes,169,1895,162,1
tuberculosis,168,1895,152,2
malaria,81,1895,78,3
dengue,42,1895,42,4
arthritis,18,1895,14,5
chagas,0,1895,0,6
hiv,0,1895,0,7
tuberculosis,188,1896,168,1
diabetes,174,1896,169,2
malaria,96,1896,81,3
dengue,43,1896,42,4
arthritis,20,1896,18,5
chagas,0,1896,0,6
hiv,0,1896,0,7
tuberculosis,208,1897,188,1
diabetes,179,1897,174,2
malaria,104,1897,96,3
dengue,43,1897,43,4
arthritis,23,1897,20,5
hiv,0,1897,0,6
chagas,0,1897,0,7
tuberculosis,243,1898,208,1
diabetes,184,1898,179,2
malaria,123,1898,104,3
dengue,43,1898,43,4
arthritis,26,1898,23,5
hiv,0,1898,0,6
chagas,0,1898,0,7
tuberculosis,297,1899,243,1
diabetes,186,1899,184,2
malaria,146,1899,123,3
dengue,43,1899,43,4
arthritis,27,1899,26,5
chagas,0,1899,0,6
hiv,0,1899,0,7
tuberculosis,330,1900,297,1
diabetes,190,1900,186,2
malaria,174,1900,146,3
dengue,43,1900,43,4
arthritis,28,1900,27,5
chagas,0,1900,0,6
hiv,0,1900,0,7
tuberculosis,385,1901,330,1
diabetes,201,1901,190,2
malaria,197,1901,174,3
dengue,43,1901,43,4
arthritis,32,1901,28,5
chagas,0,1901,0,6
hiv,0,1901,0,7
tuberculosis,418,1902,385,1
malaria,209,1902,197,2
diabetes,207,1902,201,3
dengue,47,1902,43,4
arthritis,38,1902,32,5
hiv,0,1902,0,6
chagas,0,1902,0,7
tuberculosis,462,1903,418,1
malaria,219,1903,209,2
diabetes,213,1903,207,3
dengue,48,1903,47,4
arthritis,41,1903,38,5
chagas,0,1903,0,6
hiv,0,1903,0,7
tuberculosis,506,1904,462,1
malaria,222,1904,219,2
diabetes,221,1904,213,3
dengue,48,1904,48,4
arthritis,43,1904,41,5
chagas,0,1904,0,6
hiv,0,1904,0,7
tuberculosis,556,1905,506,1
malaria,228,1905,222,2
diabetes,225,1905,221,3
dengue,48,1905,48,4
arthritis,47,1905,43,5
chagas,0,1905,0,6
hiv,0,1905,0,7
tuberculosis,596,1906,556,1
malaria,231,1906,228,2
diabetes,229,1906,225,3
arthritis,52,1906,47,4
dengue,49,1906,48,5
hiv,0,1906,0,6
chagas,0,1906,0,7
tuberculosis,653,1907,596,1
malaria,234,1907,231,2
diabetes,233,1907,229,3
arthritis,61,1907,52,4
dengue,50,1907,49,5
chagas,0,1907,0,6
hiv,0,1907,0,7
tuberculosis,713,1908,653,1
diabetes,241,1908,233,2
malaria,239,1908,234,3
arthritis,67,1908,61,4
dengue,52,1908,50,5
chagas,0,1908,0,6
hiv,0,1908,0,7
tuberculosis,803,1909,713,1
diabetes,247,1909,241,2
malaria,241,1909,239,3
arthritis,84,1909,67,4
dengue,56,1909,52,5
chagas,0,1909,0,6
hiv,0,1909,0,7
tuberculosis,869,1910,803,1
